 Molecules IDs (A, B) at every time frame where the angle H_{A}O_{A}O_{B} is less than 30 degree

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)	Theta of H_{A}O_{A}O_{B} (degree)
           9         253         256  0.456465125       1.03507650       28.7707901    
          10           5           8   1.84348059      0.980376422       29.7807693    
          10          37          40   1.80165315       1.06446028       28.0722446    
          10          49          52  0.969704330       1.04887903       27.7081814    
          10          61          64  0.916386724       1.02934742       29.6161823    
          10          77          80   1.52672970       1.03958142       29.0487099    
          10          81          84   1.29867804       1.00389445       28.0463676    
          10          89          92   1.47540212       1.01643550       29.7111053    
          10         109         112  0.836040080       1.05709207       24.6058559    
          10         133         136   1.75567508       1.04196024       29.1411095    
          10         157         160   1.17435265       1.04901588       29.9184933    
          10         169         172   1.31570661       1.03350675       23.2945614    
          10         217         220   1.98609960       1.05854011       23.3607655    
          10         241         244   1.34228921       1.05389774       29.6603909    
          10         253         256  0.481747776       1.02290583       28.1332130    
          11           5           8   1.78833020       1.02727246       29.2434292    
          11          25          28   1.75221694       1.01304185       28.1744175    
          11          37          40   1.84454417       1.04083419       25.8762665    
          11          65          68   1.43650031       1.07059419       29.7561436    
          11          81          84   1.21772182       1.08074808       25.2238541    
          11         105         108   1.55578840       1.05406618       28.9741955    
          11         109         112  0.888388515       1.00833762       26.9123154    
          11         133         136   1.74011338       1.04787683       28.8118382    
          11         137         140   1.90877652       1.05946290       28.3910046    
          11         149         152  0.976021230       1.05948436       28.7875023    
          11         169         172   1.25933182       1.05184281       27.6335602    
          11         173         176   1.64141583       1.06928205       27.7350445    
          11         177         180   1.32384336       1.05582988       28.1320171    
          11         205         208   1.09860718       1.06585014       29.6547928    
          11         221         224   1.30031002       1.07998955       29.0457764    
          11         253         256  0.478014678       1.05706608       27.2639046    
          12           9          12   1.43654895       1.05668414       29.0800152    
          12          21          24   1.11062908       1.06790638       24.9855366    
          12          25          28   1.84255910       1.04832411       28.7215176    
          12          37          40   1.87594259       1.02027512       29.3287811    
          12          81          84   1.22224784       1.01772690       22.9849243    
          12          89          92   1.49232495       1.05009878       29.6097908    
          12         109         112  0.914798498       1.05199277       19.9201927    
          12         137         140   2.00584531       1.02013373       24.4044361    
          12         161         164   1.46647739       1.04619348       24.0444031    
          12         169         172   1.25270641       1.00764823       27.8708515    
          12         173         176   1.60387182      0.988826513       27.2738762    
          12         217         220   1.78702974       1.06455147       26.7514343    
          12         225         228  0.754276991       1.05807555       29.4689388    
          12         253         256  0.396392018       1.03058302       26.7234058    
          13           5           8   1.70825589      0.975869417       28.4675312    
          13          37          40   1.90297830       1.07554257       29.6206665    
          13          49          52   1.01433218       1.03157973       28.0519600    
          13          89          92   1.49720192       1.01545691       27.5177803    
          13         109         112  0.893958390       1.03971815       26.1086178    
          13         133         136   1.59517837       1.06375098       27.4841213    
          13         137         140   2.10842276       1.04281116       29.7435799    
          13         141         144   1.47107112       1.00457370       28.1102200    
          13         149         152  0.949995220       1.07430816       29.8432236    
          13         161         164   1.50189555       1.06239748       28.6237125    
          13         169         172   1.23092401       1.05224848       25.1344185    
          13         173         176   1.58146167       1.08664906       26.4227142    
          13         177         180   1.50788164       1.03657389       26.6131744    
          13         217         220   1.72970188       1.04541516       27.5283623    
          13         253         256  0.354280740       1.04180539       25.9727974    
          14           9          12   1.39663208       1.05767095       29.9089012    
          14          21          24  0.890568435       1.02584934       27.6036415    
          14          25          28   1.93570721       1.01055300       26.1309376    
