 Molecules IDs (A, B) at every time frame where the angle H_{A}O_{A}O_{B} is less than 30 degree

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)	Theta of H_{A}O_{A}O_{B} (degree)
          36           5           8  0.725836515       1.02806234       29.8027477    
          36          13          16   1.25382972       1.02020752       27.7607784    
          36          49          52  0.989872158       1.08917105       23.5996456    
          36          53          56  0.912924111       1.04085326       27.5600967    
          36          97         100  0.714865625       1.03456414       29.3571663    
          36         109         112   1.23101723       1.05171478       24.0696487    
          36         121         124   1.03109348       1.05375051       26.1146698    
          36         149         152   1.96276772       1.04873550       27.2353821    
          36         185         188   1.25076556       1.05727136       29.9083118    
          36         189         192   1.60000491       1.04731297       29.9094410    
          36         229         232  0.612987578       1.06230569       26.9465294    
          36         253         256   1.25916004       1.01901984       26.0231800    
          37           5           8  0.673230827       1.06168771       23.8383865    
          37          25          28   1.27608991       1.03982151       26.2607899    
          37          49          52   1.01288104       1.01353884       28.2116585    
          37          53          56  0.950873613       1.05403149       28.5200920    
          37         109         112   1.19977415       1.02423012       22.2664795    
          37         149         152   2.04601240       1.04756498       25.2184372    
          37         157         160  0.892183542       1.04572296       28.3930149    
          37         189         192   1.57186139       1.04807031       28.5618992    
          37         201         204   1.59840930       1.03508198       23.3753662    
          37         253         256   1.22190833       1.07789004       22.3717003    
          38           5           8  0.611746669       1.03201306       29.6770782    
          38          13          16   1.37640011       1.05299580       25.1556644    
          38          49          52   1.03761983       1.00447142       26.2521057    
          38          53          56   1.00122213      0.997643530       25.7506084    
          38          97         100  0.634392560       1.05469787       27.6807766    
          38         109         112   1.20379794       1.04983068       20.1961460    
          38         149         152   2.16852736       1.03699040       26.7385044    
          38         161         164  0.767607152       1.08118212       24.6397686    
          38         189         192   1.54245245       1.02180696       29.8289394    
          38         253         256   1.24428046      0.998295546       23.1897964    
          39           5           8  0.569020450       1.01728821       22.4572620    
          39          49          52   1.02689123       1.08577418       26.6338825    
          39          53          56   1.05164242       1.05411267       25.5740566    
          39          65          68  0.812777579       1.04573584       27.1604748    
          39         109         112   1.24509573       1.05554366       23.9220142    
          39         141         144   1.26716638       1.02668810       29.7730770    
          39         145         148   1.39961863       1.06778407       28.3371429    
          39         149         152   2.24166465       1.05527794       28.0980587    
          39         157         160  0.877551734       1.01074314       29.8164997    
          39         185         188   1.42767632       1.04682910       27.2539368    
          39         201         204   1.46005011       1.03313148       28.8074875    
          39         229         232  0.880548120       1.07540655       28.3454514    
          39         253         256   1.32309842       1.05022669       24.7349815    
          40           5           8  0.538091063       1.06224787       25.6243610    
          40          13          16   1.56524026       1.04565609       28.4011135    
          40          33          36  0.986844301       1.07735956       29.0683842    
          40          41          44   1.15887189       1.03571451       27.1440678    
          40          45          48  0.989182889       1.04397523       29.8843231    
          40          49          52  0.991457045      0.991420448       26.7884579    
          40          53          56   1.08999503       1.03695822       24.7526283    
          40          73          76   1.40372002       1.06514621       29.3742275    
          40          97         100  0.623729289       1.04706001       29.9379654    
          40         109         112   1.32058609       1.02933753       21.8018856    
          40         149         152   2.24629641       1.03306794       29.9495163    
          40         157         160  0.856254935       1.05294943       29.2276592    
          40         161         164  0.765274763       1.02725542       26.3959217    
          40         201         204   1.40493250       1.02840066       26.6722298    
          41          13          16   1.57046449       1.04559290       27.1916943    
          41          21          24   1.06787694       1.00215888       27.9465714    
          41          49          52  0.976788461       1.04316664       26.4440975    
          41          53          56   1.08981335       1.02219617       23.7271576    
          41          65          68  0.939637601       1.00219953       27.1210537    
          41         109         112   1.38832355       1.05598545       23.6961250    
          41         161         164  0.782701373       1.06170905       27.0406971    
          41         185         188   1.55919850       1.03029728       26.0843678    
          41         193         196   2.21771669       1.01630545       28.9571915    
          41         229         232  0.864522278       1.07245910       27.2383137    
          41         245         248   1.35158885      0.998966575       28.2298832    
          41         253         256   1.28668261       1.00687981       28.6152878    
          42           5           8  0.586671710       1.03805077       22.8566971    
          42           9          12   1.27321661       1.02734852       26.9709530    
          42          53          56   1.11200964       1.06168044       25.8301716    
          42          65          68  0.955460310       1.06817377       28.1860008    
          42          73          76   1.44440174      0.994946063       26.1203365    
          42         109         112   1.40351200       1.03342307       23.6364784    
          42         129         132  0.849034905       1.07120895       29.7501087    
          42         157         160  0.845790684       1.02637875       26.8517685    
          42         189         192   1.58250070       1.06365144       28.9419956    
          42         201         204   1.29577732       1.02958095       21.9103222    
          42         253         256   1.24927890       1.07638776       29.4035187    
          43           9          12   1.23343134       1.02832246       28.9198666    
          43          13          16   1.66785038       1.04788458       26.7165871    
          43          49          52   1.02743518      0.999519706       25.7160625    
          43          53          56   1.16114438       1.03853357       25.6596699    
          43          73          76   1.40954673       1.08232796       29.6139965    
          43          85          88  0.963979483       1.04493141       29.7102394    
          43         109         112   1.45026231       1.02596343       25.1989174    
          43         129         132  0.842235982       1.01891577       29.9535046    
          43         161         164  0.696717978       1.06600332       24.1781693    
          43         165         168  0.887162030       1.04092014       27.7996922    
          43         185         188   1.57576954       1.02150416       29.5908279    
          43         189         192   1.54513168       1.02833867       25.1368713    
          43         193         196   2.10768604       1.05280459       25.9129887    
          43         205         208   1.17280328      0.979689240       27.8214302    
          43         245         248   1.35861564       1.01883113       29.6912804    
          44           9          12   1.24907351       1.07312727       27.6389484    
          44          49          52   1.01673269       1.06390357       29.8414841    
          44          53          56   1.19606578       1.03921092       25.6872387    
          44          65          68   1.10821581       1.02441907       26.3903236    
          44          73          76   1.35380232       1.02807641       29.9671707    
          44          77          80   1.21411431       1.02539945       28.3167572    
          44         109         112   1.53212202       1.05152905       29.0970516    
          44         129         132  0.813036919       1.03624809       29.7669106    
          44         137         140   1.67332554       1.05874634       29.6321297    
          44         141         144   1.09837925       1.01657987       29.1162357    
          44         165         168  0.922157288       1.03039014       29.5845757    
          44         185         188   1.53084362       1.03328621       24.0790901    
          44         193         196   1.97986889       1.01820695       28.4002876    
          44         229         232   1.14610016       1.06673002       22.9195614    
          45           5           8  0.668182075       1.06619275       29.7888527    
          45           9          12   1.27858460       1.01234198       26.0707817    
          45          53          56   1.24341500       1.04973280       23.2932320    
          45          73          76   1.34884107       1.02519405       26.9971714    
          45          85          88  0.964257002       1.03698063       29.6563129    
          45         109         112   1.59562266       1.01796329       29.4152832    
          45         129         132  0.811689019       1.07206953       27.5212688    
          45         145         148   1.98463118       1.01654720       28.2051067    
          45         149         152   2.53458714       1.02575314       29.1715679    
          45         157         160  0.839076042       1.03621662       29.1560898    
          45         165         168  0.944109857       1.05931342       29.6175690    
          45         173         176   1.33810019       1.05876493       27.7814217    
          45         193         196   1.86235225       1.06734037       28.8840370    
          45         201         204   1.11947620       1.01786113       22.4686813    
          46           9          12   1.31317019       1.05890727       27.6677189    
          46          13          16   1.76889300       1.04686022       27.0836926    
          46          49          52   1.02896309       1.00222909       29.7959175    
          46          53          56   1.26668537       1.03401983       24.4744282    
          46          73          76   1.37110913       1.07705557       28.9164867    
          46          77          80   1.25083494       1.04051661       28.6389046    
          46         101         104  0.549461365       1.00332320       28.9754219    
          46         137         140   1.50554764       1.03896284       29.2432270    
          46         161         164  0.748882174       1.09332716       28.9678135    
          46         165         168  0.977978647       1.04478502       29.1567936    
          46         185         188   1.46727514       1.01774335       25.8638382    
          46         193         196   1.81947803       1.04386735       28.1098137    
          46         205         208  0.989650309      0.990348220       27.5609455    
          46         229         232   1.09215188       1.03778541       28.6552010    
          47           9          12   1.30325747       1.05594778       25.6800709    
          47          73          76   1.39677250       1.00291133       27.8713856    
          47          77          80   1.29495072       1.02284765       24.0723114    
          47         101         104  0.572203517       1.06531179       27.8934860    
          47         129         132  0.967643201       1.06833482       27.1829128    
          47         137         140   1.43919110       1.04694498       27.5473061    
          47         173         176   1.41778851       1.04938030       27.8982792    
          47         185         188   1.38499677       1.05012202       28.4907455    
          47         193         196   1.76693046       1.03108847       29.3208485    
          47         201         204  0.995031953       1.04550469       24.7734070    
          47         229         232   1.13713074       1.04689479       24.3361282    
          47         241         244  0.656671405       1.06398368       28.8482056    
          48           9          12   1.30389810       1.01302671       26.5255909    
          48          53          56   1.35753977       1.04837584       26.3914661    
          48          73          76   1.37145519       1.04150844       27.4526901    
          48          77          80   1.28174031       1.05082119       29.7324543    
          48          85          88  0.810589731       1.03416514       28.6139832    
          48         129         132   1.01550949       1.03992653       29.2231560    
          48         137         140   1.35087025       1.00782740       28.5024662    
          48         161         164  0.695726871       1.02216864       26.8931885    
          48         165         168   1.05202937       1.05782831       28.3841896    
          48         173         176   1.49460113       1.05142999       26.6141281    
          48         189         192   1.42497063       1.06607604       27.0718021    
          48         193         196   1.64155459       1.06647313       28.0581512    
          48         213         216   1.67387402       1.04025221       29.2245178    
          48         225         228   1.45820343       1.06644142       28.2292900    
          49           9          12   1.36085510       1.07582855       24.7966270    
          49          53          56   1.41534197       1.03277445       29.0179806    
          49          57          60   1.40230656       1.02272713       29.5093555    
          49          73          76   1.33999062       1.05451846       29.4176350    
          49          77          80   1.24737930       1.02753961       26.9429111    
          49          89          92  0.691392481       1.03498471       28.1538868    
          49         101         104  0.609077752       1.01948190       28.6073093    
          49         121         124   1.09479320       1.02862537       29.0779972    
          49         137         140   1.28506863       1.05933845       26.2705803    
          49         161         164  0.725857556       1.09711778       29.8814240    
          49         173         176   1.54907453       1.02111197       27.1306458    
          49         185         188   1.20103276       1.02973104       23.6701984    
          49         193         196   1.53970051       1.03264034       27.2002716    
          49         213         216   1.71795416       1.01550651       28.0143471    
          49         229         232   1.32010198       1.06766427       23.6855087    
          50           9          12   1.45627880       1.01397276       25.9899368    
          50          45          48   1.07125068       1.01994908       29.7867794    
          50          73          76   1.36975801       1.00764346       28.2641373    
          50          77          80   1.22675061       1.03947163       28.5370789    
          50          85          88  0.879419088       1.01568449       29.3281250    
          50          97         100  0.220985234       1.03393984       29.0897789    
          50         129         132   1.14332998       1.06722569       25.4876556    
          50         145         148   1.85330045       1.04879916       28.3491764    
          50         153         156  0.655449033       1.06439853       28.8150043    
          50         173         176   1.62750757       1.07885253       22.3129120    
          50         193         196   1.49990177       1.03879905       29.9059238    
          50         197         200  0.466620475       1.03933465       29.9646034    
          50         201         204  0.856643140       1.03821731       25.6489449    
          50         213         216   1.72528172       1.03936887       27.0645390    
          50         225         228   1.36782956       1.00563884       26.4944725    
